Product	Hoeveelheid	Eenheid	Kcal	Eiwit	Koolhydraten	Vet
suikerbrood	100	g	293,90	6,1	64	1,5
suikerklontje	100	g	400,00	0	100	0
suikermeloen	100	g	28,80	0,9	6,3	0
sultana	100	g	378,80	6,6	72,8	6,8
supreme cheese (quick)	1	stuk	688,00	37,7	46,1	39,2
taai-taai	100	g	263,30	3,4	60,4	0,9
taartbodem (groot 22 cm)	100	g	351,00	8	73	3
taco shells (Old el paso)	100	g	479,60	7,8	60,8	22,8
tagliatelle	100	g	372,90	14,1	70,8	3,7
tahin	100	g	553,30	21,9	0,1	51,7
tahoe	100	g	112,50	11,6	1	6,9
taksi	100	g	51,70	0,9	11,8	0,1
tamari	100	g	102,70	15	10	0,3
tartaar	100	g	189,10	25,6	1,2	9,1
tarwebrood	100	g	249,90	9,5	45,1	3,5
tarwekiemen	100	g	287,00	27	20	11
taug‚	100	g	41,00	5	3	1
tempe	100	g	140,90	10,8	8	7,3
theeworst	100	g	539,00	10	1	55
tjaptjoi	100	g	113,30	8,6	3,3	7,3
toffee	100	g	445,00	2	71	17
tofu	100	g	67,00	8	2	3
tomate-groentesap	100	g	20,00	1	4	0
tomaten	100	g	16,00	1	3	0
tomaten-(curry) ketchup	100	g	92,40	0,9	22,2	0
tomatenpuree (elvea)	100	g	100,80	3,9	20,4	0,4
tomatesap	100	g	18,00	1	3,5	0
tompouce	100	g	286,30	3,8	36,5	13,9
tong (varken)	100	g	227,10	15,1	0,5	18,3
tong (gebakken)	100	g	194,10	22	2	10,9
tong (gekookt)	100	g	105,00	23	1	1
tongfilets	100	g	72,00	18	0	0
tonijn in olie	100	g	228,00	21	0	16
tonijn, eigen nat	100	g	112,50	27	0	0,5
toostje	100	g	360,00	14	67	4
topping (opgeklopt)	100	g	216,00	4	23	12
tosti	1	stuk	232,00	9	22	12
tuinbonen (gekookt)	100	g	36,00	5	4	0
tuinkers	100	g	39,50	4,2	4,1	0,7
tussendoorbiscuit (chocola)	100	g	451,50	11,5	62	17,5
tussendoorbiscuit (fruit)	100	g	394,50	8,5	71	8,5
tussendoorbiscuit (krenten)	100	g	373,00	9	73	5
tuttifrutti (geweekt)	100	g	98,00	1	23,5	0
tv-worstjes (zwan)	100	g	178,00	9	4	14
tweedrank	100	g	40,40	0,2	9,9	0
twix	1	stuk	277,00	3	37	13
ui	100	g	44,00	1	10	0
uiensoep (franse)	100	g	62,00	3	8	2
uitjes (devos lemmens)	100	g	11,20	0,8	2	0
uitsmijter ham (2 eieren)	100	g	248,70	12,8	16,3	14,7
uitsmijter kaas (2 eieren)	100	g	283,90	13,6	16,2	18,3
umer	100	g	65,00	6,5	3	3
vanilleijs	100	g	186,80	3,2	25,5	8
vanillepudding	100	g	105,70	4,5	19	1,3
vanillevla (mager)	100	g	66,90	3,5	13	0,1
vanillevla (vol)	100	g	75,40	2,9	10,1	2,6
varkensfilet	100	g	177,40	31,3	0	5,8
varkenshaas	100	g	147,10	27,6	0,4	3,9
varkenskotelet	100	g	336,10	15,4	0	30,5
varkenslap (mager)	100	g	172,00	30,2	0,2	5,6
varkenslap (vet)	100	g	305,90	22	0,7	23,9
varkensoester	100	g	147,10	27,6	0,4	3,9
varkensreuzel	100	g	897,70	0,1	0	99,7
varkensschnitsel	100	g	156,00	21	0	8
varkensschouderlap	100	g	272,40	27,6	0	18
varkensvlees (mager)	100	g	161,00	20	0	9
vegetarische groenteschijf	100	g	132,70	3,5	12,8	7,5
vegetarische hamburger	100	g	158,70	17,5	9,8	5,5
vegetarische kebab	100	g	149,80	18,5	7,7	5
vegetarische schnitzel	100	g	272,60	15,5	14,4	17
veldsla	100	g	13,60	1,8	0,7	0,4
venkel	100	g	36,00	2	7	0
vetarme geraspte kaas	100	g	280,40	29,5	0,1	18
viennetta	100	ml	155,00	2	12	11
vietnamese loempia	100	g	203,60	7,4	21,9	9,6
Vifit calcimel	100	ml	65,00	3	11	1
vijgen (gedroogd)	100	g	228,00	4	53	0
vijgen (gedroogd)	100	g	273,00	4	62	1
vijgen (vers)	100	g	62,80	0,9	13	0,8
vinaigrettesaus	100	g	531,80	0,2	0	59
visburger	100	g	238,20	16,4	13,9	13
visoliecapsule	1	stuk	9,00	0	0	1
vissalade	100	g	276,10	7	6,9	24,5
visschnitzel	100	g	238,20	16,4	13,9	13
vissticks	100	g	167,00	12	14	7
vitabis	100	g	416,60	8,6	76,2	8,6
vitalinea sinaas -chocolade	1	reep	115,80	0,9	21,3	3
vitalinea pruimen	1	reep	108,80	1,1	20,7	2,4
vitalinea abrikozen	1	reep	101,00	1,4	18	2,6
vitalinea rode vruchten	1	reep	80,70	1,1	14,8	1,9
vleessaus uit pakje	100	g	76,10	1,7	7,2	4,5
volkoren biscuit	100	g	452,00	9	68	16
volkorenbrood	100	g	211,80	8,4	40,5	1,8
vruchten op siroop	100	g	76,40	0,4	18,7	0
vruchtenhagelslag	100	g	393,20	0,1	98,2	0
vruchtenkoekje	100	g	292,00	0	73	0
vruchtenlimonade	100	g	39,20	0	9,8	0
vruchtensaus	100	g	160,00	0	40	0
vruchtentaart	100	g	264,40	3,7	36,3	11,6
vruchtenvlaai	100	g	231,50	3,6	37,4	7,5
vruchtesap	100	g	40,40	0	10,1	0
wafel (choco)	100	g	472,00	5	59	24
wafel (suiker)	100	g	467,00	5	60	23
wafels	1	stuk	177,00	3	21	9
walnoten	100	g	659,00	15	8	63
watergruwel	100	g	60,00	1	14	0
waterkers	100	g	20,70	1,6	2,9	0,3
watermeloen	100	g	36,00	1	8	0
weense worstjes (zwan)	100	g	119,00	10	4	7
weight gainer (fitshape)	100	g	389,00	20	75	1
whey proteine	100	g	369,00	79	11	1
wienerschnitzel	100	g	188,40	20,1	6,3	9,2
wijting	100	g	77,40	18	0	0,6
winegums	100	g	204,00	1	50	0
wit waterbrood	100	g	259,30	8,1	52	2,1
witloof	100	g	12,00	1	2	0
witte bonen	100	g	334,00	21	58	2
witte bonen in tomatensaus	100	g	75,20	5,2	12,7	0,4
witte kool	100	g	24,20	1,4	4,2	0,2
wittebrood (melk)	100	g	270,10	9,7	51,3	2,9
wittekool (gekookt)	100	g	10,80	0,9	1,8	0
wittekool (rauw)	100	g	24,00	2	4	0
wokkels	100	g	473,00	3	68	21
worstebroodje	100	g	395,00	13	25	27
